City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
55,Hilo,US,73.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Ormara,PK,81.12,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
65,Saint George,US,80.55,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Maumere,ID,75.96,clear sky,-8.6199,122.2111,Sylvia Hotel
67,Beloha,MG,75.78,clear sky,-25.1667,45.05,
70,Bambanglipuro,ID,77.61,scattered clouds,-7.95,110.2833,Puri Brata
75,Svencionys,LT,75.72,overcast clouds,55.15,26.1667,Šviesa
76,East London,ZA,82.9,clear sky,-33.0153,27.9116,Tu Casa
77,Shingu,JP,84.9,moderate rain,33.7333,135.9833,Shingu UI Hotel
79,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
81,Itaituba,BR,87.96,clear sky,-4.2761,-55.9836,Hotel Campos
84,Kavieng,PG,81.77,broken clouds,-2.5744,150.7967,Nusa Island Retreat
86,Uige,AO,89.49,scattered clouds,-7.6087,15.0613,Hotel Catraio
87,Filadelfia,US,74.14,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
90,Pombas,CV,80.38,scattered clouds,17.1503,-25.0201,Paul Paradis
91,Xiuyan,CN,73.09,few clouds,40.2928,123.2744,Helin Holiday Hotel
93,Namatanai,PG,78.89,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
94,Asau,RO,89.4,broken clouds,46.4333,26.4,Casa Mika Ciobanus
97,Topeka,US,70.18,mist,39.0483,-95.678,Hotel Topeka At City Center
98,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
100,Barma,SL,83.12,overcast clouds,8.35,-11.3333,
103,Shitanjing,CN,78.78,clear sky,39.2342,106.3439,
104,Kruisfontein,ZA,77.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
105,Severnyy,RU,87.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
107,Jacqueville,CI,78.71,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
109,Ponta Do Sol,PT,74.71,broken clouds,32.6667,-17.1,Hotel do Campo
111,Muisne,EC,75.31,overcast clouds,0.6,-80.0333,Quinta Samay
112,Torbay,CA,71.49,light rain,47.6666,-52.7314,Gallows Cove
115,Kudat,MY,85.93,few clouds,6.8837,116.8477,Dream Garden Hotel
116,Lokosovo,RU,74.93,broken clouds,61.1333,74.8167,
119,Port Elizabeth,ZA,80.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
120,Pathein,MM,81.1,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
121,Masuguru,TZ,91.8,few clouds,-11.3667,38.4167,
123,Pasni,PK,81.09,clear sky,25.2631,63.471,Kashmiri Hotal
124,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
125,Katsuura,JP,82.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Butaritari,KI,82.49,few clouds,3.0707,172.7902,Isles Sunset Lodge
129,Kahului,US,75.22,broken clouds,20.8947,-156.47,Maui Seaside Hotel
131,Nanzhou,CN,81.54,light rain,29.3596,112.4024,兴禹国际大酒店
134,Morris,US,71.71,broken clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
140,Dingle,PH,77.83,light rain,10.9995,122.6711,SEGAYA PROPERTY
142,Tual,ID,80.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
143,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
145,Bonthe,SL,82.76,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
146,Huilong,CN,85.03,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
147,Arrifes,PT,73.65,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
148,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
149,Alofi,NU,73.72,overcast clouds,-19.0595,-169.9187,Taloa Heights
150,Kunming,CN,73.33,broken clouds,25.0389,102.7183,Green Land Hotel
151,Fengrun,CN,77.14,light rain,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
153,Zambrano,CO,77.38,overcast clouds,9.7472,-74.8153,Hotel Doña Lesbia
154,Karratha,AU,70.66,light rain,-20.7377,116.8463,ibis Styles Karratha
156,Shostka,UA,80.02,clear sky,51.863,33.4698,Premiere Hotel
157,Seka,TH,84.15,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
158,Mwinilunga,ZM,85.93,few clouds,-11.7358,24.4293,Kwakuwahi Lodge
159,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
160,Gubkinskiy,RU,77.63,few clouds,64.434,76.5026,MonarcH
164,Cotonou,BJ,77.56,light rain,6.3654,2.4183,Novotel Cotonou Orisha
165,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
167,Makakilo City,US,75.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
168,Ixtapa,MX,74.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
172,Mianyang,CN,75.7,light rain,31.4593,104.7542,如家快捷酒店
