City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Cherskiy,RU,68.75,161.3,49.33,62,11,5.23,few clouds
115,Kudat,MY,6.8837,116.8477,85.93,79,20,1.14,few clouds
116,Lokosovo,RU,61.1333,74.8167,74.93,64,75,6.11,broken clouds
117,Grindavik,IS,63.8424,-22.4338,62.56,67,75,14.97,broken clouds
118,Iguape,BR,-24.7081,-47.5553,66.45,77,22,2.01,few clouds
119,Port Elizabeth,ZA,-33.918,25.5701,80.1,34,56,8.61,broken clouds
120,Pathein,MM,16.7833,94.7333,81.1,85,98,6.55,overcast clouds
121,Masuguru,TZ,-11.3667,38.4167,91.8,22,17,4.03,few clouds
122,Saint-Augustin,CA,51.226,-58.6502,59.86,66,97,8.41,overcast clouds
123,Pasni,PK,25.2631,63.471,81.09,82,3,17.9,clear sky
124,Santa Rosa,PH,14.3122,121.1114,84.11,84,58,6.87,broken clouds
125,Katsuura,JP,35.1333,140.3,82.51,90,100,13.58,overcast clouds
126,Kortkeros,RU,61.8106,51.5806,68.0,38,96,5.48,overcast clouds
127,Severo-Kurilsk,RU,50.6789,156.125,53.29,78,97,10.0,overcast clouds
128,Butaritari,KI,3.0707,172.7902,82.49,64,11,10.09,few clouds
129,Kahului,US,20.8947,-156.47,75.22,82,75,12.66,broken clouds
130,Narsaq,GL,60.9167,-46.05,48.42,69,23,6.08,few clouds
131,Nanzhou,CN,29.3596,112.4024,81.54,88,100,6.44,light rain
132,Chokurdakh,RU,70.6333,147.9167,54.73,54,100,8.28,overcast clouds
133,Altamont,US,42.2068,-121.7372,58.39,85,1,4.61,clear sky
134,Morris,US,40.8334,-74.5329,71.71,86,75,1.01,broken clouds
135,Tuatapere,NZ,-46.1333,167.6833,32.83,91,97,1.34,light snow
136,Mount Isa,AU,-20.7333,139.5,53.37,40,0,0.0,clear sky
137,Dikson,RU,73.5069,80.5464,49.66,72,5,3.44,clear sky
138,Yellowknife,CA,62.456,-114.3525,43.79,65,45,8.61,scattered clouds
139,Esperance,AU,-33.8667,121.9,59.63,79,0,12.19,clear sky
140,Dingle,PH,10.9995,122.6711,77.83,90,100,5.21,light rain
141,Hobart,AU,-42.8794,147.3294,46.26,77,40,1.01,scattered clouds
142,Tual,ID,-5.6667,132.75,80.56,80,100,20.36,overcast clouds
143,Pitimbu,BR,-7.4706,-34.8086,81.19,67,93,17.27,overcast clouds
144,Geraldton,AU,-28.7667,114.6,64.81,94,40,13.8,scattered clouds
145,Bonthe,SL,7.5264,-12.505,82.76,64,95,9.82,overcast clouds
146,Huilong,CN,31.8111,121.655,85.03,78,0,6.89,clear sky
147,Arrifes,PT,37.7667,-25.7,73.65,53,75,9.22,broken clouds
148,Kavaratti,IN,10.5669,72.642,81.03,81,100,18.68,overcast clouds
149,Alofi,NU,-19.0595,-169.9187,73.72,72,93,13.18,overcast clouds
150,Kunming,CN,25.0389,102.7183,73.33,73,75,6.71,broken clouds
151,Fengrun,CN,39.8333,118.1167,77.14,82,98,1.25,light rain
152,North Bend,US,43.4065,-124.2243,56.91,100,1,0.0,clear sky
153,Zambrano,CO,9.7472,-74.8153,77.38,92,100,5.28,overcast clouds
154,Karratha,AU,-20.7377,116.8463,70.66,67,2,7.14,light rain
155,Rio Pomba,BR,-21.2747,-43.1792,68.58,76,100,1.23,overcast clouds
156,Shostka,UA,51.863,33.4698,80.02,45,0,7.31,clear sky
157,Seka,TH,17.9285,103.9552,84.15,72,100,2.93,overcast clouds
158,Mwinilunga,ZM,-11.7358,24.4293,85.93,13,20,6.4,few clouds
159,Victoria,HK,22.2855,114.1577,86.32,86,100,6.87,overcast clouds
160,Gubkinskiy,RU,64.434,76.5026,77.63,43,14,6.26,few clouds
161,Rehoboth,NA,-23.3167,17.0833,81.1,11,0,18.57,clear sky
162,Chapais,CA,49.7834,-74.8492,58.78,49,0,5.57,clear sky
163,Iqaluit,CA,63.7506,-68.5145,41.97,83,100,1.21,overcast clouds
164,Cotonou,BJ,6.3654,2.4183,77.56,85,98,15.93,light rain
